job_id,suite,slot,task,task_idx,state_id,perturbation_seed,effective_env_seed,method,objective,condition,arm_lock,timing,trigger_override,teacher_anchor_valid,anchor,epsilon,pgd_steps,K,target_token,output_dir,scientific_key,bridge_sha256,video,gate_dependency
1,libero_object,salad,salad_dressing,2,1,42,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/salad_dressing_s1_s42,b84a078a332cbae990cf86d0,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
2,libero_object,salad,salad_dressing,2,1,123,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/salad_dressing_s1_s123,a83e68e98c21dfc247436362,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
3,libero_object,salad,salad_dressing,2,1,456,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/salad_dressing_s1_s456,8a0a43e06a6ec2fa62a7527b,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
4,libero_object,bbq,bbq_sauce,3,4,42,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/bbq_sauce_s4_s42,ac3ab3ef06e1fd0f72fb58a4,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
5,libero_object,bbq,bbq_sauce,3,4,123,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/bbq_sauce_s4_s123,ee084ef824acd3d156f5ac12,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
6,libero_object,bbq,bbq_sauce,3,4,456,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/bbq_sauce_s4_s456,95ee63e228c04006bb0d7482,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
7,libero_object,ketchup,ketchup,4,1,42,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/ketchup_s1_s42,1510c31fa938299f6b8e041e,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
8,libero_object,ketchup,ketchup,4,1,123,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/ketchup_s1_s123,06a54f30faaacbce9c9287a5,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
9,libero_object,ketchup,ketchup,4,1,456,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/ketchup_s1_s456,788d3696ec55a519cfd80d93,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
10,libero_object,milk,milk,7,5,42,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/milk_s5_s42,1032dc06cdb894d8e1f1942d,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
11,libero_object,milk,milk,7,5,123,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/milk_s5_s123,4857b52e14d25b424aae1a7a,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
12,libero_object,milk,milk,7,5,456,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/milk_s5_s456,855c1befcf8e22c21869f9d5,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
13,libero_object,butterA,butter,6,5,42,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/butter_s5_s42,7ba5f35bfc48e90528d6d057,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
14,libero_object,butterA,butter,6,5,123,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/butter_s5_s123,aa33699927db0ba67af28964,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
15,libero_object,butterA,butter,6,5,456,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/butter_s5_s456,45abc1470d42dceead4df916,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
16,libero_object,orange,orange_juice,9,2,42,0,RAND,random_linf_control,RAND_T10,False,student,-1,False,0,0.023529411764705882,20,10,31744,/mnt/sdc/dty_user/openvla_attack/evidence/phase7_object/breadth_120/rand/orange_juice_s2_s42,b9ba8975ac0de7e87ef7ee3d,64c83e95bf621496640c7059065c11e05b9b306f9d63c9791d3943c322327dd2,True,OBJECT_BREADTH_ATTACK_PASS
