trace_id,task_key,state_id,seed,split,source_path,source_sha256,row_count,remapper_version,grasp_privilege_valid,n_close_candidates,n_tp_qualifying_candidates,teacher_p_step,teacher_r_step,category
trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1,0,train,/data/liuyu/outputs/stageb_s20i_clean_expansion_20260612/trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571.csv,adfc7c87e28d478311ed68d730a43e30c1ae1b060b7a580389eb5c44c0dc4ffb,205,rc1a_corrected_v2_e1_5,True,10,1,122,62,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008.csv,e98c390855ca1ee56f0b2d8bf9c04665532237a4f771cc73eb9684d698b6cba9,280,rc1a_corrected_v2_e1_5,True,13,1,49,49,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s19_w0_10_s20d_clean_seed0_job330010,alphabet_soup,19,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s19_w0_10_s20d_clean_seed0_job330010.csv,adfa7f8d96d9d988605d38e5c63856a26a7ddf7be67dc1de0c04991f3791c12c,147,rc1a_corrected_v2_e1_5,True,2,1,58,13,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012.csv,4aaf274e6d940079c5e68fa9376d5d56b2bdb66d77a27fd43c59f8366c2157cb,280,rc1a_corrected_v2_e1_5,True,12,1,140,140,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013.csv,dfe9a63887f35d3a9f0c78aa1caa7e3277f4ae369c91272905b9a77c3158eb90,166,rc1a_corrected_v2_e1_5,True,4,1,70,70,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s25_w0_10_s20d_clean_seed0_job330016,alphabet_soup,25,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s25_w0_10_s20d_clean_seed0_job330016.csv,5d28001fcf1ba3e32e67fdbb87061b59b5ebb484736c654f9583c204b6f47dba,153,rc1a_corrected_v2_e1_5,True,2,1,71,71,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018.csv,569b4aca34df1bd74f3628cb35b54277e1e45c525744cafdc6614c790b7468b0,280,rc1a_corrected_v2_e1_5,True,29,1,118,54,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s29_w0_10_s20d_clean_seed0_job330020,alphabet_soup,29,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s29_w0_10_s20d_clean_seed0_job330020.csv,1060fe11f3529f315c7342e93944dc8b2d6e2553405d1ba299ff13b1b94cb853,160,rc1a_corrected_v2_e1_5,True,4,1,59,59,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s32_w0_10_s20d_clean_seed0_job330023,alphabet_soup,32,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s32_w0_10_s20d_clean_seed0_job330023.csv,ab31e1a5fd99d1e081e52e59be468894a224c7482da22b09d304ea2ab3491158,280,rc1a_corrected_v2_e1_5,True,14,1,237,121,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s35_w0_10_s20d_clean_seed0_job330026,alphabet_soup,35,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s35_w0_10_s20d_clean_seed0_job330026.csv,570ac86741983a9b73a8fabf935652afb9cd3e29b2c35c065ecab8cb6417f5a9,280,rc1a_corrected_v2_e1_5,True,13,1,82,82,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s37_w0_10_s20d_clean_seed0_job330028,alphabet_soup,37,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s37_w0_10_s20d_clean_seed0_job330028.csv,27f5b4407fcad4603836d90944ddf8dbb28e561e883b79569b5457b5d57b7ff2,280,rc1a_corrected_v2_e1_5,True,2,1,50,50,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s38_w0_10_s20d_clean_seed0_job330029,alphabet_soup,38,0,train,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s38_w0_10_s20d_clean_seed0_job330029.csv,eaf1820788e4d2e9c9da369f5f544a905c4225eeaf02a693634825455898fd9f,245,rc1a_corrected_v2_e1_5,True,15,1,164,52,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s39_w0_10_s20d_clean_seed0_job330030,alphabet_soup,39,0,val,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/trace_alphabet_soup_s39_w0_10_s20d_clean_seed0_job330030.csv,f3e28310e7155039ca7a719e6b6ec03818f86f5c295860a63dc63f7d8c6be29f,160,rc1a_corrected_v2_e1_5,True,3,1,64,64,ELIGIBLE_MULTI_CANDIDATE
