suite,task_id,episode_key,canonical_index_label,real_source_label_found,source_label_path,source_label_sha256,source_anchor,source_window_start,source_window_end,source_confidence,source_event_id,matches_canonical,notes
libero_object,0,libero_object/task_00/state_000/clean/attempt_01,"{""episode_key"": ""libero_object/task_00/state_000/clean/attempt_01"", ""n_privileged_records"": 175, ""parent_key"": ""libero_object/task_00/state_000"", ""state_id"": 0, ""suite"": ""libero_object"", ""task_id"": 0, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""6d682695716d69476ae7fba0371bcf21933d814dba30f756341d4331cf2b695e"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,109,109,118,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,0,libero_object/task_00/state_001/clean/attempt_01,"{""episode_key"": ""libero_object/task_00/state_001/clean/attempt_01"", ""n_privileged_records"": 175, ""parent_key"": ""libero_object/task_00/state_001"", ""state_id"": 1, ""suite"": ""libero_object"", ""task_id"": 0, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""619b63143a4f8cf37bee488ac19a73ebc4010eca5e0b54cbfa890bd3736be0fe"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,91,91,100,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,0,libero_object/task_00/state_002/clean/attempt_01,"{""episode_key"": ""libero_object/task_00/state_002/clean/attempt_01"", ""n_privileged_records"": 157, ""parent_key"": ""libero_object/task_00/state_002"", ""state_id"": 2, ""suite"": ""libero_object"", ""task_id"": 0, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""487ccaa3b31883ae9d227fb9cf72290d733c6ad9589fc3c7a16e0f98d91a49ef"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,80,80,89,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,0,libero_object/task_00/state_003/clean/attempt_01,"{""episode_key"": ""libero_object/task_00/state_003/clean/attempt_01"", ""n_privileged_records"": 400, ""parent_key"": ""libero_object/task_00/state_003"", ""state_id"": 3, ""suite"": ""libero_object"", ""task_id"": 0, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""9099ed2da7d90be4e5e552c0ab2a1718c16499b0398396953f20fa4386ad72a6"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,-1,-1,-1,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,0,libero_object/task_00/state_004/clean/attempt_01,"{""episode_key"": ""libero_object/task_00/state_004/clean/attempt_01"", ""n_privileged_records"": 189, ""parent_key"": ""libero_object/task_00/state_004"", ""state_id"": 4, ""suite"": ""libero_object"", ""task_id"": 0, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""94240958668d8dd22cfb72d7724c2b760f168fcb66ff03055c1cc46ee09efaa8"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,114,114,123,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,1,libero_object/task_01/state_000/clean/attempt_01,"{""episode_key"": ""libero_object/task_01/state_000/clean/attempt_01"", ""n_privileged_records"": 400, ""parent_key"": ""libero_object/task_01/state_000"", ""state_id"": 0, ""suite"": ""libero_object"", ""task_id"": 1, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""0330bdc3623086ad9b33d74758f1cfdef7e5e83ffdd0dc3e8742ec28014ec852"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,-1,-1,-1,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,1,libero_object/task_01/state_001/clean/attempt_01,"{""episode_key"": ""libero_object/task_01/state_001/clean/attempt_01"", ""n_privileged_records"": 134, ""parent_key"": ""libero_object/task_01/state_001"", ""state_id"": 1, ""suite"": ""libero_object"", ""task_id"": 1, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""a7749c613bb753563cc9abf9ebbe910cecda0f66700aa4d929e0882f888af7cd"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,82,82,91,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,1,libero_object/task_01/state_002/clean/attempt_01,"{""episode_key"": ""libero_object/task_01/state_002/clean/attempt_01"", ""n_privileged_records"": 400, ""parent_key"": ""libero_object/task_01/state_002"", ""state_id"": 2, ""suite"": ""libero_object"", ""task_id"": 1, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""a29a8da1748f697a6c368a0ff7188b07e0800aab9a382e395a33fb95f077277a"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,-1,-1,-1,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,1,libero_object/task_01/state_003/clean/attempt_01,"{""episode_key"": ""libero_object/task_01/state_003/clean/attempt_01"", ""n_privileged_records"": 144, ""parent_key"": ""libero_object/task_01/state_003"", ""state_id"": 3, ""suite"": ""libero_object"", ""task_id"": 1, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""4ae0df0633f0abaebe6ca8685ff35b6156f12c089c8f7b8468a443396dbd8d2e"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,101,101,110,UNKNOWN,,False,real source differs from canonical constant/default fields
libero_object,1,libero_object/task_01/state_004/clean/attempt_01,"{""episode_key"": ""libero_object/task_01/state_004/clean/attempt_01"", ""n_privileged_records"": 125, ""parent_key"": ""libero_object/task_01/state_004"", ""state_id"": 4, ""suite"": ""libero_object"", ""task_id"": 1, ""teacher_anchor_step"": 0, ""teacher_artifact_sha256"": ""9d847d0d12139fafdbadb031318eaf7afbed9e8d46df374146a0ed1455af69df"", ""teacher_confidence"": 0.5, ""teacher_invalid_reason"": """", ""teacher_label_valid"": true, ""teacher_window_end"": 10, ""teacher_window_start"": 0}",True,CLEAN2000_SUPERVISION_AUTH_V1_2/TEACHER_EVENT_INDEX.jsonl,d840aa6752fb0425d6d6da264bcb2bfd35157fc619338c6922eeb43d38ce397c,82,82,91,UNKNOWN,,False,real source differs from canonical constant/default fields
