path,relative_path,type,size,mtime,sha256,git_tracked,git_status,scientific_relevance,used_by_experiment,contains_secret_risk,preservation_status,notes
/mnt/sdc/dty_user/openvla_attack/configs/cross_suite_clean1500_protocol_v1.json,configs/cross_suite_clean1500_protocol_v1.json,json,2197,1782653904.46911,449da97b2a0bcb339b19b629e19ffbab7590bf1bed0c4410b8fb114861633ce0,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/configs/cross_suite_clean1500_protocol_v1_gpu7_goal.json,configs/cross_suite_clean1500_protocol_v1_gpu7_goal.json,json,2721,1782669108.1644087,bb6f4033a80fef6e684aac2013880409d7bfd777731a87c9412f13a9609dc99e,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/configs/cross_suite_object_target_registry_v1.json,configs/cross_suite_object_target_registry_v1.json,json,8637,1782658473.078014,b0c0ec6fb33dbc2b066f9c759b1762d5a2ebada7cce2f9559a99150e0a9ec750,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/configs/detector/shard/c0r_flash2_gpu6.json,configs/detector/shard/c0r_flash2_gpu6.json,json,1136,1782065934.9896586,a095a6cbc99186fd0e7919690a7eb0098fd7eb7813640dacdd993b92479e9f98,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/configs/detector/shard/c0r_fp32_gpu2.json,configs/detector/shard/c0r_fp32_gpu2.json,json,594,1782065934.9896586,dc1ad968777280b7facf7c131198f207cf432da47a3fcb9e8ca4306f5debd70d,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/configs/detector/shard/c0r_fp32_gpu3.json,configs/detector/shard/c0r_fp32_gpu3.json,json,594,1782065934.9896586,813e6fa60b979c215712c6379556755d405319adefdc1a26c1b04c46bddaa342,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/configs/detector/shard/c0r_fp32_gpu4_diag.json,configs/detector/shard/c0r_fp32_gpu4_diag.json,json,1139,1782065934.9896586,84d41328d724fead134032297f1f2507e3a6d50e20bea41d4672dcb721b5c750,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/configs/phase8_primary_object_sites.json,configs/phase8_primary_object_sites.json,json,15813,1782580212.3464186,55afa9bc7d9f65d121f18400b53110227376d0b1798968f39ec713e86c3b2d28,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/LOTO_10FOLD_PROTOCOL_FREEZE_V2.json,docs/gpu/LOTO_10FOLD_PROTOCOL_FREEZE_V2.json,json,3654,1782630249.1302087,7998c9f425b26f3b9638d3944a7f517c57cbee3e684c5f7d32b033444e8bea4c,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/LOTO_METRIC_SCHEMA_V2.json,docs/gpu/LOTO_METRIC_SCHEMA_V2.json,json,2630,1782666072.0131426,313532df1a877898f616363ca9d6d192598b9615889fc5f5f3a564a1a35cfb83,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/LOTO_PHASE_B_EVALUATOR_FREEZE_V1.json,docs/gpu/LOTO_PHASE_B_EVALUATOR_FREEZE_V1.json,json,3843,1782667511.339702,aa10918ee4aa1ce1e9d0aa805a7d50e5381132db77f259f7bd39805ec58bcfc5,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/LOTO_PHASE_B_METRIC_PREREGISTRATION_V1.json,docs/gpu/LOTO_PHASE_B_METRIC_PREREGISTRATION_V1.json,json,9943,1782667449.6067421,148e709b912f47c372b1fe547f0a1d35e3f1b6675d0a3652326aeb86fff2bd9a,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/LOTO_TABLE1_TELEMETRY_SCHEMA_V2.json,docs/gpu/LOTO_TABLE1_TELEMETRY_SCHEMA_V2.json,json,2656,1782723686.0626628,b94194659274d7020e35cf69aca3f3054c5f6fb1d0c8921e6b02f93f213d8d8a,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/LOTO_VIS_HELDOUT_PREREGISTRATION_V1.json,docs/gpu/LOTO_VIS_HELDOUT_PREREGISTRATION_V1.json,json,7832,1782668672.385676,ee59f43a66d37c29e02dbaefbcf5537af7a124a1b17d07f6d78b2f60e280f1e1,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/LOTO_VIS_STATE_SELECTION_V1.json,docs/gpu/LOTO_VIS_STATE_SELECTION_V1.json,json,3941,1782668673.8456984,46f5672d32eb386fd839499f0788ab4f7084601b57731a00e6f21842545e3076,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/docs/gpu/SC5_OBJECT_PRIVILEGED_CORPUS_POINTER.md,docs/gpu/SC5_OBJECT_PRIVILEGED_CORPUS_POINTER.md,md,1743,1782593016.5876555,07103bfda8b604ec6bcb909b3027357955c31feae883af5252b4b62e8156fe11,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/env.sh,env.sh,sh,919,1781943499.7157168,02aa5b6d1115ae5f69960a17e524432313029a6e95c21c49f466164ff54e3727,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/envs/openvla_official_a800_conda_explicit.txt,envs/openvla_official_a800_conda_explicit.txt,txt,14534,1781948430.6551511,e8873c209ff838fa246f17e009059f41ab8a65f49d02228a299d0e0549a0fe29,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN1500_RAW_CLOSURE_V1.json,evidence/CLEAN1500_RAW_CLOSURE_V1.json,json,1114,1782815713.0989084,ac2cea6ea14db3b6fee94c0f35e9c41709d76e464238dce186a22ad73620fa68,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/evidence/c0_smoke_plan.json,evidence/c0_smoke_plan.json,json,197,1782041800.499743,809ff03e97a2bf7f503f89a9b16d0f96e4385ccce1eb9b8cb48cfb052a676eed,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/evidence/m1c/diagnostic_28_37_night_20260625_teacher_labels.csv,evidence/m1c/diagnostic_28_37_night_20260625_teacher_labels.csv,csv,12669,1782364676.3932304,2d4d29d19e519ec5dd16975e87198a3c4523124877986557160e0fb445379e21,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/evidence/m1c/sc5_v2_dev_combined_labels.csv,evidence/m1c/sc5_v2_dev_combined_labels.csv,csv,19596,1782318987.3748548,b0c98b78289a0526dcf3f8d80d39266fe796eaab9addc67916ef84584c75dbab,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/evidence/m1c/sc5_v2_train_combined_labels.csv,evidence/m1c/sc5_v2_train_combined_labels.csv,csv,60262,1782313926.1912038,b75e719cef6e2232af8727e35e3e4c5a62b2c57b8780b0fc197192032a0e7185,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/evidence/upstream_clean30_freeze_manifest.json,evidence/upstream_clean30_freeze_manifest.json,json,1138,1782041800.6637456,1743bd12607e6130629750461ca368eea43719a67a63aaa1ecabd083bbf5e665,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
/mnt/sdc/dty_user/openvla_attack/migration_audit/detector/all_task_binding_preflight.json,migration_audit/detector/all_task_binding_preflight.json,json,4498,1782060016.5000157,bcbf6d51d6ee05786a6cd127f96b8cdc51af62a30d46fd2286d99f227638b5be,False,untracked,UNKNOWN,UNKNOWN,UNREVIEWED,INVENTORIED_NOT_COPIED,from git status --porcelain
