trace_id,task_key,state_id,grasp_privilege_valid,teacher_p_available,teacher_p_step,teacher_r_step,n_close_candidates,category
trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016,alphabet_soup,2,True,True,55,55,1,ELIGIBLE_SINGLE_CANDIDATE
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,True,True,85,52,7,ELIGIBLE_MULTI_CANDIDATE
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,True,False,-1,49,29,TEACHER_P_UNAVAILABLE
trace_bbq_sauce_s3_w0_10_s20d_clean_seed0_job250003,bbq_sauce,3,True,False,-1,64,25,TEACHER_P_UNAVAILABLE
trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1,True,True,72,6,9,ELIGIBLE_MULTI_CANDIDATE
trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2,True,True,68,4,6,ELIGIBLE_MULTI_CANDIDATE
trace_chocolate_pudding_s1_w0_10_s20d_clean_seed0_job250006,chocolate_pudding,1,True,False,-1,12,3,TEACHER_P_UNAVAILABLE
trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007,chocolate_pudding,2,True,True,58,58,3,ELIGIBLE_MULTI_CANDIDATE
trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2,True,True,63,59,4,ELIGIBLE_MULTI_CANDIDATE
trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008,ketchup,2,True,True,56,0,1,ELIGIBLE_SINGLE_CANDIDATE
trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009,ketchup,3,True,True,55,55,3,ELIGIBLE_MULTI_CANDIDATE
trace_milk_s2_w0_10_s20d_clean_seed0_job250012,milk,2,True,False,-1,0,6,TEACHER_P_UNAVAILABLE
trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015,orange_juice,2,True,True,58,8,4,ELIGIBLE_MULTI_CANDIDATE
trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014,salad_dressing,2,True,True,40,40,2,ELIGIBLE_MULTI_CANDIDATE
trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1,True,True,53,53,9,ELIGIBLE_MULTI_CANDIDATE
trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011,tomato_sauce,2,True,True,97,97,2,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1,True,True,122,62,10,ELIGIBLE_MULTI_CANDIDATE
trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765,cream_cheese,1,True,True,54,8,4,ELIGIBLE_MULTI_CANDIDATE
trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1,True,True,50,50,6,ELIGIBLE_MULTI_CANDIDATE
trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117,orange_juice,1,True,True,45,43,4,ELIGIBLE_MULTI_CANDIDATE
trace_salad_dressing_s1_w0_10_s20d_clean_seed0_job230476,salad_dressing,1,True,True,57,57,1,ELIGIBLE_SINGLE_CANDIDATE
trace_alphabet_soup_s10_w0_10_s20d_clean_seed0_job330001,alphabet_soup,10,True,False,-1,49,25,TEACHER_P_UNAVAILABLE
trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12,True,True,59,59,9,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13,True,True,133,57,10,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s14_w0_10_s20d_clean_seed0_job330005,alphabet_soup,14,True,True,48,48,4,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15,True,True,115,73,9,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s16_w0_10_s20d_clean_seed0_job330007,alphabet_soup,16,True,True,60,60,2,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17,True,True,49,49,13,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18,True,True,61,61,7,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s19_w0_10_s20d_clean_seed0_job330010,alphabet_soup,19,True,True,58,13,2,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s20_w0_10_s20d_clean_seed0_job330011,alphabet_soup,20,True,True,54,54,1,ELIGIBLE_SINGLE_CANDIDATE
trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21,True,True,140,140,12,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22,True,True,70,70,4,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s24_w0_10_s20d_clean_seed0_job330015,alphabet_soup,24,True,True,61,16,5,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s25_w0_10_s20d_clean_seed0_job330016,alphabet_soup,25,True,True,71,71,2,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27,True,True,118,54,29,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s29_w0_10_s20d_clean_seed0_job330020,alphabet_soup,29,True,True,59,59,4,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s30_w0_10_s20d_clean_seed0_job330021,alphabet_soup,30,True,True,52,52,1,ELIGIBLE_SINGLE_CANDIDATE
trace_alphabet_soup_s31_w0_10_s20d_clean_seed0_job330022,alphabet_soup,31,True,False,-1,63,21,TEACHER_P_UNAVAILABLE
trace_alphabet_soup_s32_w0_10_s20d_clean_seed0_job330023,alphabet_soup,32,True,True,237,121,14,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s33_w0_10_s20d_clean_seed0_job330024,alphabet_soup,33,True,True,52,52,1,ELIGIBLE_SINGLE_CANDIDATE
trace_alphabet_soup_s34_w0_10_s20d_clean_seed0_job330025,alphabet_soup,34,True,True,54,54,36,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s35_w0_10_s20d_clean_seed0_job330026,alphabet_soup,35,True,True,82,82,13,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s36_w0_10_s20d_clean_seed0_job330027,alphabet_soup,36,True,True,49,49,1,ELIGIBLE_SINGLE_CANDIDATE
trace_alphabet_soup_s37_w0_10_s20d_clean_seed0_job330028,alphabet_soup,37,True,True,50,50,2,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s38_w0_10_s20d_clean_seed0_job330029,alphabet_soup,38,True,True,164,52,15,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s39_w0_10_s20d_clean_seed0_job330030,alphabet_soup,39,True,True,64,64,3,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s40_w0_10_s20d_clean_seed0_job330031,alphabet_soup,40,True,True,51,51,7,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s41_w0_10_s20d_clean_seed0_job330032,alphabet_soup,41,True,True,64,16,2,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s42_w0_10_s20d_clean_seed0_job330033,alphabet_soup,42,True,True,82,42,6,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,alphabet_soup,43,True,True,53,53,6,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s44_w0_10_s20d_clean_seed0_job330035,alphabet_soup,44,True,True,85,85,7,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s45_w0_10_s20d_clean_seed0_job330036,alphabet_soup,45,True,True,84,84,6,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s46_w0_10_s20d_clean_seed0_job330037,alphabet_soup,46,True,False,-1,45,31,TEACHER_P_UNAVAILABLE
trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,alphabet_soup,47,True,True,53,53,2,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s48_w0_10_s20d_clean_seed0_job330039,alphabet_soup,48,True,True,60,60,10,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,alphabet_soup,49,True,True,104,49,8,ELIGIBLE_MULTI_CANDIDATE
trace_bbq_sauce_s10_w0_10_s20d_clean_seed0_job330041,bbq_sauce,10,True,False,-1,54,14,TEACHER_P_UNAVAILABLE
trace_bbq_sauce_s11_w0_10_s20d_clean_seed0_job330042,bbq_sauce,11,True,True,178,175,4,ELIGIBLE_MULTI_CANDIDATE
trace_bbq_sauce_s12_w0_10_s20d_clean_seed0_job330043,bbq_sauce,12,True,True,253,66,17,ELIGIBLE_MULTI_CANDIDATE
