task_key,state_id,window_start,window_end,disagreement_type,audit_action,clean_open_count,clean_open_rate_val,clean_longest_open_streak,targeted_open_count,targeted_open_rate,targeted_longest_open_streak,random_open_count,random_open_rate,random_longest_open_streak,tmc_count,tmr_count,tmc_streak,tmr_streak,ceiling_flag,gripper_delta_vs_clean,label_status,taxonomy_full,mechanism_type,vis_open_count,qpos_delta,qpos_label,label_phys_bridge,label_cmd_sus
ketchup,0,16,33,CEILING_POSITIVE,Clean model already opens; probe delta-to-clean invalid. Use raw targeted_open_rate instead.,10,1.0,10,8,0.8,5,9,0.9,9,-2,-1,-5,-4,1,-0.2,positive,action_positive_physical_strong_task_positive,,18,0.038042,strong,1,1
alphabet_soup,4,4,21,POSITIVE_LABEL_LOW_PROBE,Check if probe objective/reachability matches VIS; retry with higher PGD steps,6,0.6,5,5,0.5,3,5,0.5,3,-1,0,-2,0,0,-0.1,positive,claim_usable,,18,0.032241,strong,1,1
butter,3,29,46,HIGH_PROBE_NEGATIVE_LABEL,Verify VIS trace; check if probe false positive or label error,3,0.3,1,9,0.9,9,4,0.4,2,6,5,8,7,0,0.6,ignore,polluted,,0,0.0,none,0,0
cream_cheese,4,28,45,POSITIVE_LABEL_LOW_PROBE,Check if probe objective/reachability matches VIS; retry with higher PGD steps,3,0.3,3,3,0.3,2,3,0.3,3,0,0,-1,-1,0,0.0,positive,claim_usable,,18,0.038149,strong,1,1
ketchup,1,21,38,POSITIVE_LABEL_LOW_PROBE,Check if probe objective/reachability matches VIS; retry with higher PGD steps,5,0.5,3,4,0.4,2,6,0.6,5,-1,-2,-1,-3,0,-0.1,positive,claim_usable,,18,0.037871,strong,1,1
ketchup,5,9,26,CEILING_POSITIVE,Clean model already opens; probe delta-to-clean invalid. Use raw targeted_open_rate instead.,9,0.9,6,6,0.6,3,9,0.9,6,-3,-3,-3,-3,1,-0.3,negative,action_positive_physical_positive_task_negative,,18,0.037403,strong,1,1
milk,4,19,36,POSITIVE_LABEL_LOW_PROBE,Check if probe objective/reachability matches VIS; retry with higher PGD steps,4,0.4,4,2,0.2,1,4,0.4,4,-2,-2,-3,-3,0,-0.2,positive,claim_usable,,18,0.03789,strong,1,1
milk,5,25,42,POSITIVE_LABEL_LOW_PROBE,Check if probe objective/reachability matches VIS; retry with higher PGD steps,2,0.2,1,2,0.2,1,1,0.1,1,0,1,0,0,0,0.0,negative,action_positive_physical_positive_task_negative,,18,0.03799,strong,1,1
salad_dressing,0,31,48,HIGH_PROBE_NEGATIVE_LABEL,Verify VIS trace; check if probe false positive or label error,3,0.3,1,7,0.7,5,3,0.3,1,4,4,4,4,0,0.4,ignore,polluted,,0,0.0,none,0,0
alphabet_soup,6,40,57,HIGH_PROBE_NEGATIVE_LABEL,Verify VIS trace; check if probe false positive or label error,1,0.1,1,7,0.7,4,3,0.3,1,6,4,3,3,0,0.6,negative,no_action_bridge,,0,0.0,none,0,0
salad_dressing,5,28,45,HIGH_PROBE_NEGATIVE_LABEL,Verify VIS trace; check if probe false positive or label error,0,0.0,0,7,0.7,5,1,0.1,1,7,6,5,4,0,0.7,negative,no_action_bridge,,0,0.0,none,0,0
