trace_file,recovery_status,has_correct_qpos,has_env_action,n_steps,columns
trace_alphabet_soup_random_linf_job1013.csv,NOT_RECOVERABLE,False,False,122,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job1015.csv,NOT_RECOVERABLE,False,False,40,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job1033.csv,NOT_RECOVERABLE,False,False,74,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job1075.csv,NOT_RECOVERABLE,False,False,106,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job1081.csv,NOT_RECOVERABLE,False,False,118,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job1099.csv,NOT_RECOVERABLE,False,False,143,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job1105.csv,NOT_RECOVERABLE,False,False,150,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job1119.csv,NOT_RECOVERABLE,False,False,144,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job115.csv,NOT_RECOVERABLE,False,False,145,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_random_linf_job19.csv,NOT_RECOVERABLE,False,False,146,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1012.csv,NOT_RECOVERABLE,False,False,122,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1014.csv,NOT_RECOVERABLE,False,False,40,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1032.csv,NOT_RECOVERABLE,False,False,74,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1074.csv,NOT_RECOVERABLE,False,False,106,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1080.csv,NOT_RECOVERABLE,False,False,118,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1098.csv,NOT_RECOVERABLE,False,False,143,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1104.csv,NOT_RECOVERABLE,False,False,150,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job1118.csv,NOT_RECOVERABLE,False,False,144,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job114.csv,NOT_RECOVERABLE,False,False,145,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job16.csv,NOT_RECOVERABLE,False,False,160,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job18.csv,NOT_RECOVERABLE,False,False,146,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_alphabet_soup_vis_pgd_job86.csv,NOT_RECOVERABLE,False,False,142,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_random_linf_job1079.csv,NOT_RECOVERABLE,False,False,117,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_random_linf_job1091.csv,NOT_RECOVERABLE,False,False,175,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_random_linf_job1093.csv,NOT_RECOVERABLE,False,False,123,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_random_linf_job13.csv,NOT_RECOVERABLE,False,False,171,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_vis_pgd_job1078.csv,NOT_RECOVERABLE,False,False,117,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_vis_pgd_job1090.csv,NOT_RECOVERABLE,False,False,171,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_vis_pgd_job1092.csv,NOT_RECOVERABLE,False,False,123,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_vis_pgd_job12.csv,NOT_RECOVERABLE,False,False,171,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_bbq_sauce_vis_pgd_job14.csv,NOT_RECOVERABLE,False,False,157,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
trace_butter_random_linf_job1017.csv,NOT_RECOVERABLE,False,False,213,"arm_l2,attack_this_step,attacks_applied,done,env_grip,gripper_qpos,in_window,pgd_applied,step"
