episode_path,suite,condition,tier,step_core_complete,features_25d_columns_complete,features_25d_finite_all_rows,detector_fields_complete,sim_state_complete,visual_frames_npz,raw_video_available,privileged_valid,teacher_abstain,same_schema_commit_6379397
/data/liuyu/outputs/rollout_rand7/soup,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/rollout_rand7/salad,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/rollout_rand7/oj,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/rollout_rand7/bbq,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/rollout_rand7/tomato,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/rollout_rand7/cream,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/rollout_rand7/ketchup,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s24_shadow_attempt1,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s45_shadow_attempt1,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/tomato_sauce_s23_shadow_attempt2,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/cream_cheese_s20_shadow_attempt1,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/butter_s11_shadow_attempt2,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s11_shadow_attempt2,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s11_shadow_attempt1,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,False,False,False
