category,path,status,notes
tracked_source_modification,/data/liuyu/repos/openvla-gripper-dutycycle-attack-reviewed-20260605/scripts/stageb/run_d4_clean_shadow.py,modified,38 insertions and 18 deletions in current dirty checkout; do not restore or reset
untracked_config,configs/d5_v1_production_bundle.json,untracked,Layer1/2 production bundle artifact in dirty checkout
untracked_source,d5_frozen_feature_adapter_v1.py,untracked,root-level duplicate/source candidate requiring human review
untracked_source,d5_frozen_online_detector_v1.py,untracked,root-level duplicate/source candidate requiring human review
untracked_source,d5_frozen_runtime_v1.py,untracked,root-level duplicate/source candidate requiring human review
untracked_config,d5_v1_production_bundle.json,untracked,root-level production bundle copy
untracked_report,reports/LAYER12_G3_HISTORICAL_PARITY.md,untracked,generated/analysis report
untracked_report,reports/LAYER12_G4R_CANONICAL_LIVE_CANARY.md,untracked,generated/analysis report
untracked_source,run_d4_clean_shadow.py,untracked,root-level duplicate/source candidate requiring human review
untracked_source,scripts/stageb/audit_object_frames.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/build_timing_inventory_v2.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/generate_codex_handoff.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/repair_handoff_evidence.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/run_d5_production_parity.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/run_g3r_candidate_parity.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/run_g4_live_canary.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/run_libero_spatial_clean_batch.py,untracked,cross-suite-adjacent source candidate; do not assume reviewed
untracked_source,scripts/stageb/run_object_frame_handoff.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/seal_spatial_evidence.py,untracked,cross-suite-adjacent source candidate; do not assume reviewed
untracked_source,scripts/stageb/verify_d5_v1_production_bundle.py,untracked,dirty checkout source candidate
untracked_source,scripts/stageb/watch_l12_timing_postprocess.py,untracked,watcher candidate
untracked_source,scripts/stageb/watcher_l12_timing_panel.py,untracked,watcher candidate
untracked_source,scripts/stageb/watcher_l12_timing_resume.py,untracked,watcher candidate
untracked_source,src/gripper_attack/d5_frozen_feature_adapter_v1.py,untracked,dirty checkout source candidate
untracked_source,src/gripper_attack/d5_frozen_online_detector_v1.py,untracked,dirty checkout source candidate
untracked_source,src/gripper_attack/d5_frozen_runtime_v1.py,untracked,dirty checkout source candidate
untracked_source,src/gripper_attack/run_d4_clean_shadow.py,untracked,dirty checkout source candidate
untracked_source,src/gripper_attack/run_d5_production_parity.py,untracked,dirty checkout source candidate
generated_table,tables/d5_g4r_gpu_pair_variance.csv,untracked,generated evidence table
generated_table,tables/d5_g4r_off_on_identity.csv,untracked,generated evidence table
generated_table,tables/d5_g4r_parent_manifest.csv,untracked,generated evidence table
generated_table,tables/g3r_candidate_parity.csv,untracked,generated evidence table
generated_table,tables/g3r_s17_diagnostic.csv,untracked,generated evidence table
generated_table,tables/l3_vis_job_plan_v1.csv,untracked,generated planning table
generated_table,tables/l3_vis_selected_frames_v1.csv,untracked,generated planning table
generated_table,tables/l3_vis_selected_parents_v1.csv,untracked,generated planning table
untracked_test,test_d5_frozen_online_detector_v1.py,untracked,root-level test candidate
untracked_test,tests/stageb/test_d5_frozen_feature_adapter_v1.py,untracked,test candidate
untracked_test,tests/stageb/test_d5_frozen_online_detector_v1.py,untracked,test candidate
untracked_source,verify_d5_v1_production_bundle.py,untracked,root-level source candidate
untracked_source,watcher_l12_timing_panel.py,untracked,root-level watcher candidate
active_gpu_process,PID 24990,running,CUDA_VISIBLE_DEVICES=1,5; command TRUE_T10 task_idx=0 state_id=0 output /data/liuyu/outputs/vtest2/VIS/soup_s0
active_parent_shell,PID 24804,running,parent command contains historical pkill -9 -u liuyu python and tail -5 pipeline; do not signal
generated_output,/data/liuyu/outputs/layer123_videos/TRUE_T10/cream_s0,existing,episode_summary step_telemetry video_manifest and mp4 present
generated_output,/data/liuyu/outputs/layer123_videos/TRUE_T10/soup_s0,existing,episode_summary step_telemetry video_manifest and mp4 present
generated_output,/data/liuyu/outputs/vtest2/VIS/soup_s0,active_or_pending,directory exists; no files observed during audit
